104N08679,104+08679,104P08679,104-08678,104-08677,104N08677,104N08678,104P08678,104P08677,104+08678,104-09013,104-09012,104N09013,104P09013,104+09013,104+09014,104+09017,104+09018,104P09018,104N09018,104-09017,104-09016,104-04542,104N04542,104-04541,104N04541,104-04540,104-04539,104P04539,104+04540,104+04541,104P04541,104+04542,104P04542,104+04543,104P04441,104+04442,104P04442,104+04443,104P04443,104+11466,104P11466,104+04444,104P04444,104+04445,104P04445,104N04445,104-04444,104N04444,104-11466,104N11466,104-04443,104N04443,104-04442,104N04442,104-04441,104N04441,104P06223,104+06676,104P06676,104+06224,104+06225,104+06226,104+06227,104+06228,104+06229,104+06230,104-06229,104-06228,104-06227,104-06226,104-06225,104-06224,104-06676,104N06676,104-06223,104N06223,104+04735,104P04735,104+04736,104P04736,104+04737,104P04737,104+04738,104+04739,104+04740,104P04740,104+04741,104P04741,104+04742,104P04742,104+06678,104P06678,104+06679,104+06680,104+06681,104-06680,104-06679,104-06678,104N06678,104-04742,104N04742,104-04741,104N04741,104-04740,104N04740,104-04739,104-04738,104-04737,104N04737,104-04736,104N04736,104-04735,104N04735,104-04734,104P11600,104P12720,104P11598,104P11610,104P11608,104P11612,104P11606,104P11618,104P11604,104P11602,104P11630,104P11628,104P11626,104P11624,104P11616,104P11614,104P11620,104P11622
0.00462962962962965,0.16326530612244894,0.15909090909090906,0.1777777777777778,0.1848991848991849,0.1777777777777778,0.17445144470997176,0.12863070539419097,0.17999179991799918,0.19354838709677424,0.04878048780487809,0.0,0.0,0.25,0.33333333333333337,0.09756097560975607,0.3472939896654882,0.03703703703703709,0.8571428571428572,0.0,0.09999999999999998,0.368421052631579,0.0795197740112994,0.07949438202247183,0.0716524216524217,0.023046818379475087,0.027908435246158714,0.10131903174373091,0.10501991105426833,0.1161843827250254,0.08605614358030367,0.07246376811594202,0.10460488914155774,0.11764705882352944,0.10966647823629172,0.08695041438404272,0.1504178272980501,0.11111111111111116,0.11111111111111116,0.11267605633802813,0.08416921064108163,0.06502337441563966,0.14585488399586233,0.10144927536231885,0.09974278365247213,0.15385700183330975,0.15273132664437017,0.09915014164305935,0.09119229679977336,0.08450704225352113,0.09090909090909094,0.1159420289855072,0.14084507042253525,0.12676056338028174,0.1290911644893945,0.1224404513163394,0.12243453644727542,0.8571428571428572,0.0,0.712041884816754,0.12614870509607345,0.08999999999999997,0.0,0.0,0.0,0.0,0.0,0.05239130434782602,0.0,0.0,0.0,0.013111111111111184,0.0,0.03710526315789464,0.13589743589743586,0.48,0.0,0.02631578947368418,0.0350431691213815,0.0,0.0,0.0,0.0,0.022727272727272707,0.0,0.0,0.0,0.0,0.0,0.0,0.019138755980861122,0.3377483443708609,0.0,0.20220926664621053,0.0714285714285714,0.09679649688868408,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487809,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.054916985951468655,0.15637860082304533,0.1095890410958904,0.12765957446808507,0.0,0.0,0.0,0.10596026490066213,0.1282051282051282,0.11654135338345872,0.11067193675889331,0.023809523809523836,0.46174043510877716,0.11904761904761907,0.045643153526971014,0.12903225806451613,0.1742227979274611,0.014049790485580527,0.1777777777777778
0.00462962962962965,0.16326530612244894,0.15909090909090906,0.15066666666666673,0.15873015873015872,0.15422222222222215,0.14794699109276566,0.12863070539419097,0.17999179991799918,0.19354838709677424,0.04878048780487809,0.0,0.0,0.25,0.33333333333333337,0.09756097560975607,0.3472939896654882,0.06814814814814818,0.8571428571428572,0.0,0.08166666666666667,0.3321052631578948,0.0824858757062148,0.1067415730337079,0.10256410256410264,0.028844760110160794,0.027908435246158714,0.09262211914770246,0.08772490771153652,0.11603897048131451,0.08605614358030367,0.07246376811594202,0.09891984081864702,0.11764705882352944,0.10966647823629172,0.08695041438404272,0.10640668523676877,0.10000000000000009,0.10000000000000009,0.10140845070422544,0.06105538595726123,0.07635642442272272,0.14585488399586233,0.10144927536231885,0.10017147756501865,0.13340854604428143,0.1499442586399109,0.11898016997167127,0.11922967997734357,0.10985915492957743,0.10227272727272729,0.07869565217391306,0.13239436619718303,0.11830985915492953,0.11799410029498525,0.08984538236523198,0.1285208775654636,0.8571428571428572,0.0,0.2638743455497382,0.13673071567808404,0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.09075829383886269,0.0,0.0,0.0,0.0,0.26315789473684215,0.3589743589743589,0.48,0.0,0.02631578947368418,0.05535804977145753,0.0,0.0,0.0,0.0,0.00454545454545463,0.0,0.0,0.0,0.0,0.0,0.0,0.07751196172248798,0.3377483443708609,0.0,0.20220926664621053,0.0714285714285714,0.14726895598064071,0.0,0.0,0.0,0.0,0.0,0.0,0.06829268292682922,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.054916985951468655,0.15637860082304533,0.1095890410958904,0.12765957446808507,0.0,0.0,0.0,0.10596026490066213,0.1282051282051282,0.11654135338345872,0.11067193675889331,0.014761904761904754,0.10783945986496624,0.090952380952381,0.045643153526971014,0.1487096774193548,0.1742227979274611,0.014049790485580527,0.15066666666666673
0.05254629629629637,0.16326530612244894,0.15909090909090906,0.022222222222222254,0.03474903474903468,0.0444444444444444,0.022376710840756098,0.12863070539419097,0.17999179991799918,0.19354838709677424,0.04878048780487809,0.0,0.0,0.025000000000000022,0.14416666666666667,0.08317073170731704,0.3472939896654882,0.09740740740740739,0.8571428571428572,0.0,0.0,0.07131578947368422,0.0,0.008988764044943864,0.048005698005698094,0.06450210175387716,0.06647851991219822,0.08682417741701687,0.06984855971862891,0.07546895448596769,0.08268139285166443,0.07536231884057976,0.10474701534963049,0.11764705882352944,0.1011871113623517,0.09537856440511294,0.09233983286908076,0.08416666666666672,0.08416666666666672,0.08535211267605636,0.06105538595726123,0.07918968692449357,0.17009014334269257,0.10144927536231885,0.10574449842812239,0.04103793541108447,0.14158305462653298,0.12181303116147302,0.12206173888416882,0.11267605633802813,0.10511363636363646,0.07246376811594202,0.12676056338028174,0.12112676056338034,0.12347239780868102,0.06672238473324987,0.13375796178343957,0.8571428571428572,0.0,0.0,0.13673071567808404,0.017948717948717996,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.17061611374407593,0.1707317073170732,0.0,0.07711111111111113,0.0,0.25815789473684203,0.34923076923076923,0.41000000000000003,0.0,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909083,0.26416482707873434,0.0,0.14851181343970554,0.049761904761904896,0.14726895598064071,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731703,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.04980842911877381,0.15637860082304533,0.1095890410958904,0.12765957446808507,0.0,0.0,0.0,0.09602649006622499,0.1282051282051282,0.11654135338345872,0.11067193675889331,0.0,0.06226556639159786,0.15047619047619043,0.045643153526971014,0.1435483870967742,0.1512305699481865,0.045353709637663386,0.022222222222222254
0.02777777777777779,0.0,0.0,0.022222222222222254,0.03474903474903468,0.0444444444444444,0.022376710840756098,0.0,0.0,0.012096774193548376,0.04878048780487809,0.0,0.0,0.0,0.0,0.07317073170731703,0.3472939896654882,0.04481481481481486,0.8271428571428572,0.0,0.0,0.02631578947368418,0.0,0.0,0.0,0.08682417741701687,0.09062402006898718,0.09842006087838806,0.06984855971862891,0.07226988512432742,0.07961343764381035,0.006231884057971149,0.08229107447413309,0.09957983193277309,0.09002261164499725,0.08456243854473933,0.07005571030640667,0.050833333333333286,0.050833333333333286,0.04549295774647888,0.08998400930367789,0.09080606318175377,0.15915472144229348,0.09565217391304348,0.12546441840525868,0.08306303765336343,0.1387959866220737,0.11614730878186963,0.13069951854998585,0.11845070422535209,0.1137784090909092,0.08434782608695657,0.10718309859154929,0.09309859154929578,0.09551903357213087,0.041788549937317176,0.11139419674451523,0.8271428571428572,0.0,0.0,0.09245335561125012,0.005641025641025643,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.07819905213270151,0.0,0.0,0.11311111111111116,0.21621621621621623,0.26315789473684215,0.2974358974358975,0.0,0.0,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10624567872781743,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731703,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.02937420178799488,0.0,0.1095890410958904,0.021276595744680882,0.06896551724137934,0.12553191489361692,0.0,0.08940397350993368,0.07692307692307687,0.0,0.0513833992094862,0.0,0.06226556639159786,0.19047619047619047,0.045643153526971014,0.05516129032258066,0.07885362694300513,0.06334730096130148,0.022222222222222254
0.02777777777777779,0.027142857142857135,0.013636363636363669,0.03622222222222227,0.03474903474903468,0.0444444444444444,0.022376710840756098,0.016182572614107937,0.0,0.012096774193548376,0.04878048780487809,0.0,0.0,0.0,0.0,0.08317073170731704,0.3472939896654882,0.07407407407407407,0.0,0.0,0.0,0.04236842105263161,0.0,0.0,0.0,0.09552109001304532,0.08748824082784568,0.10131903174373091,0.0368572508211491,0.049730987349134836,0.0438717594723117,0.0,0.019613416714042042,0.06036414565826331,0.01992651215375929,0.08723135271807825,0.09749303621169914,0.09444444444444444,0.09444444444444444,0.08169014084507042,0.08707660997237987,0.10752231194220152,0.10152209250775834,0.08695652173913049,0.12003429551300382,0.13975461853053162,0.07023411371237465,0.05722379603399419,0.15038232795242146,0.14084507042253525,0.1335227272727273,0.0928985507246376,0.10436619718309859,0.0877464788732395,0.10141873858688022,0.04777824209499937,0.08874734607218693,0.0,0.14624070503993392,0.03141361256544506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.0,0.0,0.0444444444444444,0.022222222222222254,0.014054054054054133,0.125,0.17948717948717952,0.040000000000000036,0.0,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731703,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.02937420178799488,0.01913580246913582,0.10502283105022814,0.021276595744680882,0.08224137931034492,0.15106382978723387,0.0,0.10960264900662242,0.06717948717948707,0.0,0.0513833992094862,0.0,0.06226556639159786,0.18119047619047612,0.045643153526971014,0.016129032258064502,0.12564766839378239,0.06334730096130148,0.04133333333333333
0.014120370370370394,0.12244897959183676,0.13636363636363635,0.0888888888888889,0.026383526383526368,0.020444444444444487,0.013903975668042579,0.12863070539419097,0.0,0.012096774193548376,0.04878048780487809,0.0,0.0,0.025000000000000022,0.14416666666666667,0.09756097560975607,0.3472939896654882,0.07407407407407407,0.0,0.0,0.06233333333333335,0.21052631578947367,0.0028248587570621764,0.0,0.0,0.06334251340774011,0.04029476324866732,0.10131903174373091,0.0,0.020212301875817906,0.0029145574474612745,0.0,0.005116543490619629,0.03361344537815136,0.005370265686828857,0.12628178114903776,0.11977715877437323,0.10569444444444442,0.10569444444444442,0.0990140845070423,0.09608954789940405,0.113188836945743,0.11689079355696774,0.09884057971014493,0.09402686481851963,0.13975461853053162,0.12207357859531776,0.0,0.06145567827810827,0.06718309859154925,0.07741477272727271,0.054057971014492834,0.07436619718309856,0.05676056338028168,0.0900407360584351,0.07521938988717103,0.08011323425336181,0.0,0.14624070503993392,0.03141361256544506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.0,0.0,0.0444444444444444,0.022222222222222254,0.05891891891891887,0.0,0.17948717948717952,0.040000000000000036,0.0,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731703,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.02937420178799488,0.1152263374485597,0.08675799086757985,0.021276595744680882,0.1724137931034483,0.1843971631205672,0.08510638297872342,0.12251655629139058,0.02564102564102566,0.0,0.0513833992094862,0.0,0.032820705176294096,0.11357142857142866,0.045643153526971014,0.02612903225806451,0.12564766839378239,0.0,0.11111111111111116
0.00462962962962965,0.17591836734693878,0.18568181818181817,0.055333333333333345,0.0,0.0,0.0,0.16390041493775942,0.0,0.012096774193548376,0.04878048780487809,0.0,0.0,0.25,0.33333333333333337,0.09756097560975607,0.3472939896654882,0.07407407407407407,0.0,0.0,0.09999999999999998,0.368421052631579,0.05141242937853108,0.07415730337078652,0.0554131054131054,0.0,0.0,0.08682417741701687,0.055750951951864414,0.02573796713683285,0.035128087129927876,0.06956521739130428,0.10218874360432062,0.04201680672268904,0.01370830977953641,0.1290911644893945,0.128133704735376,0.13055555555555554,0.13055555555555554,0.13239436619718303,0.11905800261665944,0.1330216744581385,0.14881040342840257,0.1159420289855072,0.10545870248642475,0.12565223522775348,0.10549052396878489,0.018555240793200922,0.0512602662135373,0.04225352112676062,0.005681818181818232,0.01449275362318836,0.04507042253521132,0.05633802816901412,0.07290349768225868,0.06128987324139856,0.05732484076433142,0.0,0.14624070503993392,0.03141361256544506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.0,0.0,0.0444444444444444,0.022222222222222254,0.18918918918918914,0.0,0.23076923076923073,0.040000000000000036,0.0,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026388462718625383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731703,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.02937420178799488,0.16913580246913573,0.12557077625570778,0.021276595744680882,0.2013793103448276,0.19166666666666643,0.12106382978723396,0.129139072847682,0.08128205128205135,0.0,0.0513833992094862,0.0,0.0,0.0,0.045643153526971014,0.06451612903225812,0.10087435233160613,0.0,0.06977777777777783
0.00462962962962965,0.2171428571428572,0.2593181818181818,0.0,0.0,0.0,0.0,0.09709543568464729,0.0,0.012096774193548376,0.04878048780487809,0.0,0.0,0.25,0.33333333333333337,0.09756097560975607,0.3472939896654882,0.07407407407407407,0.0,0.3386363636363636,0.09999999999999998,0.368421052631579,0.06779661016949146,0.08792134831460685,0.07435897435897432,0.03652703290331927,0.038570084666039506,0.12972894622409037,0.09891579222742186,0.05569288934128247,0.04402515723270439,0.055942028985507264,0.060830017055145014,0.05336134453781516,0.06769361221028836,0.1290911644893945,0.12562674094707516,0.1333333333333333,0.13888888888888884,0.14084507042253525,0.12487280127925571,0.1330216744581385,0.15472144229348306,0.1159420289855072,0.252786510431552,0.12565223522775348,0.0943422519509477,0.09065155807365433,0.04587935429056933,0.10436619718309859,0.019886363636363757,0.012028985507246404,0.06802816901408448,0.045211267605633765,0.07599381935665117,0.08914890653294338,0.12243453644727542,0.0,0.14624070503993392,0.03141361256544506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.0,0.0,0.0444444444444444,0.022222222222222254,0.1586486486486487,0.20684210526315783,0.3433333333333334,0.3144,0.3386363636363636,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07947223074562759,0.09523809523809523,0.0032265498962894545,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731703,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.02937420178799488,0.18395061728395068,0.04086757990867573,0.021276595744680882,0.0,0.0,0.17893617021276587,0.12251655629139058,0.16435897435897429,0.0,0.0513833992094862,0.0,0.0,0.0,0.045643153526971014,0.06451612903225812,0.060880829015544036,0.0,0.0
0.00462962962962965,0.039387755102040845,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.012096774193548376,0.039268292682926864,0.0,0.0,0.25,0.33333333333333337,0.09756097560975607,0.2314386728311123,0.07407407407407407,0.0,0.6363636363636364,0.09999999999999998,0.368421052631579,0.006355932203389925,0.01193820224719111,0.056980056980056926,0.04333961443687484,0.1095954844778928,0.14117988114219449,0.07653402319565128,0.10135233386651155,0.08620954134069636,0.07246376811594202,0.05628197839681626,0.0056022408963586345,0.0,0.1290911644893945,0.1058495821727019,0.11958333333333337,0.13083333333333336,0.13267605633802815,0.11324320395406318,0.12168862445105544,0.14289936456332197,0.1159420289855072,0.2569305515861675,0.11747285291214216,0.08026755852842815,0.09348441926345596,0.08241291418861518,0.09323943661971834,0.07755681818181825,0.08347826086956522,0.11690140845070418,0.12338028169014081,0.12515802781289498,0.12049031898593121,0.12809624911535744,0.0,0.14624070503993392,0.03141361256544506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.0,0.0,0.0444444444444444,0.022222222222222254,0.18081081081081085,0.39473684210526316,0.46153846153846156,0.52,0.6363636363636364,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333206,0.17031574095413693,0.04755555555555557,0.0,0.0,0.0,0.0,0.0,0.07317073170731703,0.02727446118634369,0.0,0.0,0.0,0.008406984263850004,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.02937420178799488,0.0,0.0,0.021276595744680882,0.0,0.0,0.19148936170212771,0.08658940397350978,0.17948717948717952,0.0,0.0513833992094862,0.0,0.0,0.0,0.045643153526971014,0.04580645161290331,0.060880829015544036,0.0,0.0
0.00462962962962965,0.0,0.22818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0.012096774193548376,0.024390243902439046,0.027027027027026973,0.0,0.25,0.33333333333333337,0.09756097560975607,0.0,0.0,0.0,0.5722727272727273,0.09999999999999998,0.368421052631579,0.0,0.0,0.0,0.04333961443687484,0.01567889620570717,0.06957530076822727,0.04078132720983607,0.0638359749890941,0.09326583831876056,0.06101449275362314,0.05656623081296197,0.0056022408963586345,0.0,0.1630847029077117,0.1058495821727019,0.09722222222222221,0.09722222222222221,0.09859154929577463,0.05509521732810008,0.07918968692449357,0.07344465789862564,0.0928985507246376,0.27122034867104894,0.08334508531941898,0.09420289855072472,0.09348441926345596,0.07958085528178993,0.08450704225352113,0.08806818181818188,0.09275362318840574,0.13239436619718303,0.13239436619718303,0.13751931451046495,0.12522635464549392,0.12809624911535744,0.0,0.19774166896171863,0.03141361256544506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956519,0.0,0.0,0.0444444444444444,0.022222222222222254,0.2224324324324325,0.34289473684210525,0.41051282051282056,0.4516,0.5722727272727273,0.02631578947368418,0.06043676993397673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909083,0.0,0.0,0.0,0.0,0.17031574095413693,0.0888888888888889,0.0,0.0,0.0,0.0,0.0,0.1707317073170732,0.02727446118634369,0.0,0.0,0.0,0.09032118991161886,0.022749999999999937,0.0,0.0,0.0,0.0,0.050000000000000044,0.02937420178799488,0.0,0.0,0.021276595744680882,0.014827586206896504,0.0,0.01659574468085112,0.05960264900662238,0.13897435897435906,0.0,0.0513833992094862,0.0,0.0,0.0,0.045643153526971014,0.06612903225806455,0.12176165803108807,0.014049790485580527,0.0
